"","country","agegrp","st","year","N_cases","pct","total_cases"
"1","Austria",5,"1",2010,3.3043478208,0.021739130423913,151.9999998328
"2","Austria",5,"1",2012,1.580246912,0.0123456790098765,127.9999998976
"3","Austria",5,"1",2013,1.1366459583,0.00621118010993789,182.9999997072
"4","Austria",5,"1",2014,2.3013698568,0.0136986301178082,167.9999997816
"5","Austria",5,"1",2015,2.2761904705,0.00952380951809524,238.9999995459
"6","Austria",5,"1",2016,1.1069767226,0.00465116271023256,237.9999994764
"7","Austria",5,"1",2017,2.1577060687,0.00716845871648746,300.9999993077
"8","Austria",5,"1",2018,0,0,350.9999994735
"9","Austria",5,"1",2019,0,0,370.9999995548
"10","Austria",5,"10",2010,0,0,151.9999998328
"11","Austria",5,"10",2012,0,0,127.9999998976
"12","Austria",5,"10",2013,0,0,182.9999997072
"13","Austria",5,"10",2014,0,0,167.9999997816
"14","Austria",5,"10",2015,0,0,238.9999995459
"15","Austria",5,"10",2016,0,0,237.9999994764
"16","Austria",5,"10",2018,0,0,350.9999994735
"17","Austria",5,"10",2019,0,0,370.9999995548
"18","Austria",5,"10A",2010,2.2028985472,0.014492753615942,151.9999998328
"19","Austria",5,"10A",2012,1.580246912,0.0123456790098765,127.9999998976
"20","Austria",5,"10A",2013,3.4099378749,0.0186335403298137,182.9999997072
"21","Austria",5,"10A",2014,5.7534246504,0.0342465753445205,167.9999997816
"22","Austria",5,"10A",2015,7.9666666587,0.0333333333633333,238.9999995459
"23","Austria",5,"10A",2016,4.4279069618,0.0186046511409302,237.9999994764
"24","Austria",5,"10A",2017,4.3154121675,0.0143369175329749,300.9999993077
"25","Austria",5,"10A",2018,9.7499999727,0.0277777777416667,350.9999994735
"26","Austria",5,"10A",2019,4.37758111,0.0117994100141593,370.9999995548
"27","Austria",5,"10B",2010,1.1014492736,0.00724637680797101,151.9999998328
"28","Austria",5,"10B",2012,0,0,127.9999998976
"29","Austria",5,"10B",2013,0,0,182.9999997072
"30","Austria",5,"10B",2014,0,0,167.9999997816
"31","Austria",5,"10B",2015,0,0,238.9999995459
"32","Austria",5,"10B",2016,0,0,237.9999994764
"33","Austria",5,"10B",2017,2.1577060687,0.00716845871648746,300.9999993077
"34","Austria",5,"10B",2018,1.0833333147,0.00308641970462963,350.9999994735
"35","Austria",5,"10B",2019,0,0,370.9999995548
"36","Austria",5,"10C",2013,0,0,182.9999997072
"37","Austria",5,"10C",2017,0,0,300.9999993077
"38","Austria",5,"10C",2018,0,0,350.9999994735
"39","Austria",5,"10F",2010,0,0,151.9999998328
"40","Austria",5,"10F",2012,0,0,127.9999998976
"41","Austria",5,"10F",2013,0,0,182.9999997072
"42","Austria",5,"10F",2014,0,0,167.9999997816
"43","Austria",5,"10F",2015,0,0,238.9999995459
"44","Austria",5,"10F",2016,0,0,237.9999994764
"45","Austria",5,"10F",2017,0,0,300.9999993077
"46","Austria",5,"10F",2018,0,0,350.9999994735
"47","Austria",5,"10F",2019,0,0,370.9999995548
"48","Austria",5,"11A",2010,1.1014492736,0.00724637680797101,151.9999998328
"49","Austria",5,"11A",2012,4.740740736,0.0370370370296296,127.9999998976
"50","Austria",5,"11A",2013,5.6832298098,0.0310559006496894,182.9999997072
"51","Austria",5,"11A",2014,5.7534246504,0.0342465753445205,167.9999997816
"52","Austria",5,"11A",2015,4.552380941,0.0190476190361905,238.9999995459
"53","Austria",5,"11A",2016,7.748837201,0.0325581395716279,237.9999994764
"54","Austria",5,"11A",2017,14.025089582,0.0465949821071685,300.9999993077
"55","Austria",5,"11A",2018,5.4166666437,0.0154320987231481,350.9999994735
"56","Austria",5,"11A",2019,6.566371665,0.0176991150212389,370.9999995548
"57","Austria",5,"11B",2010,0,0,151.9999998328
"58","Austria",5,"11B",2013,0,0,182.9999997072
"59","Austria",5,"11B",2014,0,0,167.9999997816
"60","Austria",5,"11B",2015,2.2761904705,0.00952380951809524,238.9999995459
"61","Austria",5,"11B",2016,0,0,237.9999994764
"62","Austria",5,"11B",2017,0,0,300.9999993077
"63","Austria",5,"11B",2018,0,0,350.9999994735
"64","Austria",5,"11B",2019,1.0943952775,0.00294985250353982,370.9999995548
"65","Austria",5,"11C",2012,0,0,127.9999998976
"66","Austria",5,"11C",2013,0,0,182.9999997072
"67","Austria",5,"11C",2014,0,0,167.9999997816
"68","Austria",5,"11C",2015,0,0,238.9999995459
"69","Austria",5,"11C",2016,0,0,237.9999994764
"70","Austria",5,"11C",2017,0,0,300.9999993077
"71","Austria",5,"11C",2018,0,0,350.9999994735
"72","Austria",5,"11D",2010,0,0,151.9999998328
"73","Austria",5,"11D",2015,0,0,238.9999995459
"74","Austria",5,"11D",2017,0,0,300.9999993077
"75","Austria",5,"11D",2018,0,0,350.9999994735
"76","Austria",5,"11D",2019,0,0,370.9999995548
"77","Austria",5,"11E",2019,0,0,370.9999995548
"78","Austria",5,"12",2010,0,0,151.9999998328
"79","Austria",5,"12",2012,0,0,127.9999998976
"80","Austria",5,"12",2013,0,0,182.9999997072
"81","Austria",5,"12",2014,0,0,167.9999997816
"82","Austria",5,"12",2015,0,0,238.9999995459
"83","Austria",5,"12",2016,0,0,237.9999994764
"84","Austria",5,"12",2017,0,0,300.9999993077
"85","Austria",5,"12",2018,0,0,350.9999994735
"86","Austria",5,"12",2019,0,0,370.9999995548
"87","Austria",5,"12A",2010,0,0,151.9999998328
"88","Austria",5,"12A",2012,0,0,127.9999998976
"89","Austria",5,"12A",2013,0,0,182.9999997072
"90","Austria",5,"12A",2015,0,0,238.9999995459
"91","Austria",5,"12A",2017,0,0,300.9999993077
"92","Austria",5,"12A",2018,0,0,350.9999994735
"93","Austria",5,"12B",2010,0,0,151.9999998328
"94","Austria",5,"12B",2012,0,0,127.9999998976
"95","Austria",5,"12B",2013,0,0,182.9999997072
"96","Austria",5,"12B",2014,0,0,167.9999997816
"97","Austria",5,"12B",2015,0,0,238.9999995459
"98","Austria",5,"12B",2016,0,0,237.9999994764
"99","Austria",5,"12B",2017,0,0,300.9999993077
"100","Austria",5,"12B",2018,0,0,350.9999994735
"101","Austria",5,"12B",2019,0,0,370.9999995548
"102","Austria",5,"12F",2010,1.1014492736,0.00724637680797101,151.9999998328
"103","Austria",5,"12F",2012,0,0,127.9999998976
"104","Austria",5,"12F",2013,0,0,182.9999997072
"105","Austria",5,"12F",2014,4.6027397136,0.0273972602356164,167.9999997816
"106","Austria",5,"12F",2015,3.4142856938,0.0142857142271429,238.9999995459
"107","Austria",5,"12F",2016,2.213953469,0.00930232552046512,237.9999994764
"108","Austria",5,"12F",2017,0,0,300.9999993077
"109","Austria",5,"12F",2018,2.1666666645,0.00617283950925926,350.9999994735
"110","Austria",5,"12F",2019,1.0943952775,0.00294985250353982,370.9999995548
"111","Austria",5,"13",2010,0,0,151.9999998328
"112","Austria",5,"13",2012,0,0,127.9999998976
"113","Austria",5,"13",2013,0,0,182.9999997072
"114","Austria",5,"13",2014,0,0,167.9999997816
"115","Austria",5,"13",2015,1.1380952233,0.00476190470904762,238.9999995459
"116","Austria",5,"13",2016,0,0,237.9999994764
"117","Austria",5,"13",2017,0,0,300.9999993077
"118","Austria",5,"13",2018,0,0,350.9999994735
"119","Austria",5,"13",2019,0,0,370.9999995548
"120","Austria",5,"14",2010,16.5217391192,0.108695652219565,151.9999998328
"121","Austria",5,"14",2012,20.5432098688,0.160493827228395,127.9999998976
"122","Austria",5,"14",2013,11.3664596196,0.0621118012993789,182.9999997072
"123","Austria",5,"14",2014,5.7534246504,0.0342465753445205,167.9999997816
"124","Austria",5,"14",2015,11.3809523764,0.0476190476904762,238.9999995459
"125","Austria",5,"14",2016,9.9627906938,0.041860465192093,237.9999994764
"126","Austria",5,"14",2017,6.4731182663,0.0215053763494624,300.9999993077
"127","Austria",5,"14",2018,6.4999999935,0.0185185185277778,350.9999994735
"128","Austria",5,"14",2019,6.566371665,0.0176991150212389,370.9999995548
"129","Austria",5,"15A",2010,1.1014492736,0.00724637680797101,151.9999998328
"130","Austria",5,"15A",2012,4.740740736,0.0370370370296296,127.9999998976
"131","Austria",5,"15A",2013,4.5465838332,0.0248447204397516,182.9999997072
"132","Austria",5,"15A",2014,3.4520547936,0.0205479452267123,167.9999997816
"133","Austria",5,"15A",2015,3.4142856938,0.0142857142271429,238.9999995459
"134","Austria",5,"15A",2016,4.4279069618,0.0186046511409302,237.9999994764
"135","Austria",5,"15A",2017,9.7096774145,0.0322580645741935,300.9999993077
"136","Austria",5,"15A",2018,9.7499999727,0.0277777777416667,350.9999994735
"137","Austria",5,"15A",2019,9.8495574975,0.0265486725318584,370.9999995548
"138","Austria",5,"15B",2010,1.1014492736,0.00724637680797101,151.9999998328
"139","Austria",5,"15B",2012,0,0,127.9999998976
